Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
15,1093.00,2.000,-9.267,0.5167,4.3512,0.0000,8.0112,18.5283,37.2267,0.0000,26.0394,0.0000,10.1944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.342,-3.807,1.124,0.119,0.523,0.000000,-0.138258,0.452562,0.491042,0.194654
15,1093.00,2.000,-9.267,0.4996,3.9908,0.0000,2.9436,41.6472,22.7450,0.0000,17.0630,0.0000,15.6011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.637,-5.105,1.122,0.125,0.568,0.000000,0.036376,0.242339,0.658601,0.062684
16,1092.50,2.000,-9.285,0.5161,4.3525,0.0000,8.0508,18.4585,37.2219,0.0000,26.0937,0.0000,10.1751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.331,-3.799,1.122,0.119,0.522,0.000000,-0.138716,0.452696,0.490320,0.195700
16,1092.50,2.000,-9.285,0.5351,3.9898,0.0000,2.9365,41.7314,22.6678,0.0000,17.0483,0.0000,15.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.114,-5.473,1.201,0.134,0.608,0.000000,0.037136,0.241411,0.658946,0.062507
17,1092.00,2.000,-9.302,0.5157,4.3537,0.0000,8.0904,18.3893,37.2165,0.0000,26.1479,0.0000,10.1560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.323,-3.793,1.121,0.118,0.521,0.000000,-0.139170,0.452822,0.489603,0.196745
17,1092.00,2.000,-9.302,0.5703,3.9887,0.0000,2.9295,41.8150,22.5910,0.0000,17.0338,0.0000,15.6307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.588,-5.840,1.280,0.143,0.649,0.000000,0.037892,0.240491,0.659286,0.062331
18,1091.50,2.000,-9.320,0.5156,4.3550,0.0000,8.1300,18.3205,37.2106,0.0000,26.2019,0.0000,10.1369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.317,-3.788,1.121,0.118,0.521,0.000000,-0.139621,0.452940,0.488890,0.197791
18,1091.50,2.000,-9.320,0.6053,3.9877,0.0000,2.9225,41.8981,22.5146,0.0000,17.0194,0.0000,15.6454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.059,-6.205,1.359,0.152,0.689,0.000000,0.038644,0.239576,0.659623,0.062156
19,1091.00,2.000,-9.337,0.5157,4.3562,0.0000,8.1696,18.2524,37.2042,0.0000,26.2558,0.0000,10.1181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.313,-3.785,1.120,0.118,0.521,0.000000,-0.140069,0.453050,0.488183,0.198837
19,1091.00,2.000,-9.337,0.6400,3.9867,0.0000,2.9156,41.9806,22.4388,0.0000,17.0051,0.0000,15.6599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.527,-6.568,1.437,0.161,0.728,0.000000,0.039392,0.238669,0.659957,0.061983
