Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
112,1044.50,2.000,-10.944,1.2155,3.3250,44.5094,3.4407,9.1359,3.1581,0.0000,5.3055,0.0000,12.2267,0.0000,0.0000,22.0020,0.2217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.998,-15.471,2.677,0.366,1.396,0.381336,0.101915,0.166010,0.245744,-0.052125,0.141040,0.016080
113,1044.00,2.000,-10.964,1.7314,3.4452,34.2630,10.6076,15.2323,3.4599,0.0000,4.4420,0.0000,8.9707,0.0000,0.0000,22.8523,0.1722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.799,-21.868,3.744,0.503,1.950,0.102440,0.051857,0.141920,0.591564,0.017937,0.081528,0.012754
113,1044.00,2.000,-10.964,1.3580,3.3248,44.5410,3.4237,9.1173,3.1457,0.0000,5.3216,0.0000,12.2363,0.0000,0.0000,21.9923,0.2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.225,-17.285,2.991,0.408,1.560,0.381498,0.102327,0.166506,0.245002,-0.052353,0.140917,0.016103
114,1043.50,2.000,-10.985,1.7326,3.4456,34.2396,10.6289,15.2490,3.4477,0.0000,4.4487,0.0000,8.9622,0.0000,0.0000,22.8516,0.1723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.815,-21.884,3.745,0.503,1.951,0.101395,0.051837,0.142140,0.592746,0.018004,0.081115,0.012764
114,1043.50,2.000,-10.985,1.4947,3.3246,44.5759,3.4057,9.0963,3.1320,0.0000,5.3377,0.0000,12.2486,0.0000,0.0000,21.9815,0.2223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.360,-19.026,3.291,0.450,1.717,0.381709,0.102797,0.166999,0.244200,-0.052574,0.140744,0.016124
115,1043.00,2.000,-11.006,1.7339,3.4460,34.2165,10.6500,15.2655,3.4355,0.0000,4.4554,0.0000,8.9538,0.0000,0.0000,22.8508,0.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.834,-21.902,3.747,0.503,1.953,0.100357,0.051817,0.142359,0.593919,0.018069,0.080705,0.012773
115,1043.00,2.000,-11.006,1.6303,3.3243,44.6105,3.3879,9.0754,3.1183,0.0000,5.3539,0.0000,12.2608,0.0000,0.0000,21.9707,0.2226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.477,-20.753,3.589,0.490,1.873,0.381910,0.103268,0.167493,0.243403,-0.052792,0.140572,0.016146
116,1042.50,2.000,-11.026,1.7355,3.4464,34.1935,10.6710,15.2819,3.4235,0.0000,4.4621,0.0000,8.9454,0.0000,0.0000,22.8501,0.1725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.856,-21.923,3.750,0.504,1.954,0.099325,0.051797,0.142578,0.595085,0.018133,0.080298,0.012783
116,1042.50,2.000,-11.026,1.7648,3.3241,44.6449,3.3702,9.0546,3.1047,0.0000,5.3700,0.0000,12.2729,0.0000,0.0000,21.9598,0.2229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.578,-22.467,3.885,0.531,2.028,0.382102,0.103740,0.167987,0.242613,-0.053008,0.140400,0.016167
117,1042.00,2.000,-11.047,1.7373,3.4468,34.1707,10.6918,15.2982,3.4114,0.0000,4.4687,0.0000,8.9371,0.0000,0.0000,22.8494,0.1727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.882,-21.947,3.753,0.504,1.956,0.098300,0.051778,0.142797,0.596243,0.018196,0.079894,0.012792
117,1042.00,2.000,-11.047,1.8982,3.3239,44.6791,3.3526,9.0339,3.0912,0.0000,5.3862,0.0000,12.2850,0.0000,0.0000,21.9488,0.2232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-29.662,-24.167,4.178,0.571,2.181,0.382283,0.104213,0.168483,0.241828,-0.053222,0.140227,0.016188
118,1041.50,2.000,-11.068,1.7394,3.4472,34.1481,10.7124,15.3144,3.3994,0.0000,4.4754,0.0000,8.9288,0.0000,0.0000,22.8487,0.1728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.912,-21.974,3.756,0.505,1.958,0.097281,0.051758,0.143016,0.597394,0.018257,0.079492,0.012802
118,1041.50,2.000,-11.068,2.0307,3.3237,44.7130,3.3352,9.0134,3.0777,0.0000,5.4024,0.0000,12.2969,0.0000,0.0000,21.9378,0.2235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-31.730,-25.855,4.469,0.611,2.333,0.382455,0.104687,0.168980,0.241048,-0.053434,0.140055,0.016209
